Date,Open,High,Low,Close
Thu Jan 09 2025 10:55:00 GMT+0530 (India Standard Time),1742.75,1743.8,1734.2,1734.7
Thu Jan 09 2025 11:00:00 GMT+0530 (India Standard Time),1734.7,1741.3,1733.15,1739.0
Thu Jan 09 2025 11:05:00 GMT+0530 (India Standard Time),1739.0,1743.1,1737.45,1742.5
Thu Jan 09 2025 11:10:00 GMT+0530 (India Standard Time),1742.5,1744.55,1739.45,1744.35
Thu Jan 09 2025 11:15:00 GMT+0530 (India Standard Time),1744.35,1744.35,1739.55,1743.15
Thu Jan 09 2025 11:20:00 GMT+0530 (India Standard Time),1743.45,1745.7,1741.6,1745.7
Thu Jan 09 2025 11:25:00 GMT+0530 (India Standard Time),1745.7,1749.85,1744.15,1749.15
Thu Jan 09 2025 11:30:00 GMT+0530 (India Standard Time),1749.15,1749.85,1745.0,1746.7
Thu Jan 09 2025 11:35:00 GMT+0530 (India Standard Time),1746.7,1754.5,1745.85,1754.2
Thu Jan 09 2025 11:40:00 GMT+0530 (India Standard Time),1754.9,1755.0,1749.85,1750.95
Thu Jan 09 2025 11:45:00 GMT+0530 (India Standard Time),1750.2,1750.95,1745.2,1745.3
Thu Jan 09 2025 11:50:00 GMT+0530 (India Standard Time),1745.3,1745.5,1742.9,1742.9
Thu Jan 09 2025 11:55:00 GMT+0530 (India Standard Time),1742.9,1744.15,1742.2,1743.25
Thu Jan 09 2025 12:00:00 GMT+0530 (India Standard Time),1743.25,1744.1,1738.35,1740.95
Thu Jan 09 2025 12:05:00 GMT+0530 (India Standard Time),1740.95,1740.95,1737.6,1737.8
Thu Jan 09 2025 12:10:00 GMT+0530 (India Standard Time),1737.8,1738.7,1735.1,1735.5
Thu Jan 09 2025 12:15:00 GMT+0530 (India Standard Time),1735.5,1737.6,1730.1,1733.1
Thu Jan 09 2025 12:20:00 GMT+0530 (India Standard Time),1733.1,1734.1,1729.15,1731.8
Thu Jan 09 2025 12:25:00 GMT+0530 (India Standard Time),1730.5,1733.45,1729.0,1730.1
Thu Jan 09 2025 12:30:00 GMT+0530 (India Standard Time),1730.1,1731.05,1727.0,1731.05
